               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15568,           0.0088369,             0.04009,          1.2906e-05,          0.00032512,          6.4802e-06,          9.7156e-07,             0.15291,           0.0040797,            0.038652,              0.0973,              0.0003,              0.0003
                   1,             0.15183,           0.0099053,            0.039675,          3.6422e-05,           0.0014631,          1.8519e-05,          3.9014e-06,             0.14828,           0.0047477,            0.038027,            0.093694,           0.0006937,           0.0006937
                   2,             0.14681,            0.011484,            0.038972,          5.0586e-05,            0.002032,           2.582e-05,          5.1459e-06,             0.14521,           0.0052069,            0.037463,             0.09008,           0.0010802,           0.0010802
                   3,             0.14195,             0.01324,            0.038004,          6.5446e-05,           0.0038202,          3.4059e-05,          7.8003e-06,             0.14225,           0.0056636,            0.036567,             0.08646,           0.0014595,           0.0014595
                   4,             0.13841,            0.014267,             0.03667,          8.7008e-05,           0.0034951,          4.5188e-05,          9.4531e-06,             0.14055,           0.0058893,             0.03555,            0.082832,           0.0018316,           0.0018316
                   5,             0.13576,            0.015174,            0.035049,          0.00011647,            0.011309,           6.119e-05,          1.3355e-05,             0.13968,           0.0059678,            0.034392,            0.079197,           0.0021965,           0.0021965
                   6,             0.13388,            0.015663,            0.032989,          0.00010522,           0.0042266,          5.4977e-05,          1.2517e-05,             0.13925,            0.005973,            0.033153,            0.075554,           0.0025542,           0.0025542
                   7,             0.13186,            0.016724,            0.030541,          0.00011129,           0.0044705,          5.8449e-05,           1.329e-05,             0.13905,           0.0059698,            0.031965,            0.071905,           0.0029047,           0.0029047
                   8,             0.13006,            0.017266,            0.028132,          0.00010927,           0.0043892,          5.7283e-05,          1.3693e-05,             0.13903,           0.0059305,            0.030872,            0.068248,            0.003248,            0.003248
                   9,             0.12839,            0.017624,            0.025767,          0.00010927,           0.0043892,          5.7234e-05,          1.3584e-05,             0.13911,           0.0058998,            0.030056,            0.064584,           0.0035841,           0.0035841
                  10,             0.12587,            0.018221,            0.023575,          0.00010927,           0.0043892,           5.732e-05,          1.3795e-05,             0.13924,           0.0062243,            0.029512,            0.060913,            0.003913,            0.003913
                  11,             0.12363,            0.018245,            0.022043,          0.00010842,           0.0043892,          5.7373e-05,          1.4042e-05,             0.13936,           0.0062171,             0.02921,            0.057235,           0.0042347,           0.0042347
                  12,             0.12127,            0.017904,             0.02062,           0.0001426,            0.011797,          7.6547e-05,          1.6892e-05,             0.13946,           0.0062033,            0.029084,            0.053549,           0.0045492,           0.0045492
                  13,             0.11855,            0.017796,            0.019664,          0.00013592,            0.012284,          7.5532e-05,          1.6197e-05,              0.1395,           0.0062112,            0.029054,            0.049857,           0.0048565,           0.0048565
                  14,             0.11629,            0.017431,             0.01891,          0.00011498,           0.0050394,          6.2255e-05,          1.5365e-05,             0.13953,           0.0062216,            0.029125,            0.046157,           0.0051566,           0.0051566
                  15,             0.11435,            0.017367,            0.018035,          0.00010596,           0.0043079,          5.6338e-05,          1.4768e-05,             0.13955,           0.0061752,            0.029331,             0.04245,           0.0054495,           0.0054495
                  16,             0.11345,            0.016873,             0.01758,          0.00010038,            0.004064,          5.3189e-05,          1.4137e-05,             0.13952,           0.0060843,            0.029452,            0.038735,           0.0057352,           0.0057352
                  17,              0.1115,            0.017019,            0.016862,          0.00010115,            0.004064,          5.3702e-05,          1.4368e-05,             0.13947,           0.0060071,            0.029457,            0.035014,           0.0060137,           0.0060137
                  18,             0.11001,            0.017215,            0.016313,          0.00010117,            0.004064,          5.3894e-05,          1.4316e-05,              0.1394,           0.0059671,            0.029548,            0.031285,            0.006285,            0.006285
                  19,             0.10837,            0.017295,            0.015625,          9.8558e-05,           0.0039828,          5.2693e-05,          1.4533e-05,             0.13929,           0.0059122,            0.029845,            0.027549,           0.0065491,           0.0065491
                  20,             0.10684,            0.017319,             0.01526,          9.6489e-05,           0.0039015,          5.1758e-05,          1.4081e-05,             0.13916,           0.0059325,             0.02992,            0.023806,            0.006806,            0.006806
                  21,             0.10596,            0.017064,            0.014872,          0.00010047,            0.004064,          5.5586e-05,          1.4069e-05,              0.1389,           0.0060031,            0.029523,            0.020056,           0.0070557,           0.0070557
                  22,              0.1044,            0.017364,            0.014541,          9.8371e-05,           0.0039828,          5.4995e-05,          1.3752e-05,              0.1387,           0.0060744,            0.029291,            0.016298,           0.0072982,           0.0072982
                  23,             0.10375,            0.017309,            0.014114,           0.0097642,            0.004527,           0.0050488,          0.00051321,             0.13848,           0.0061248,            0.029009,            0.012534,           0.0075335,           0.0075335
                  24,             0.10275,            0.017135,             0.01399,            0.010226,           0.0047709,           0.0052013,           0.0010421,             0.13842,           0.0061438,            0.029069,           0.0087616,           0.0077616,           0.0077616
                  25,             0.10089,            0.017318,            0.013632,          0.00083546,           0.0078595,          0.00070636,          0.00020134,             0.13802,           0.0062491,            0.028611,             0.00775,             0.00775,             0.00775
                  26,            0.099958,            0.017357,            0.013309,            0.001054,             0.01702,          0.00084688,          0.00026776,             0.13742,           0.0063695,            0.027715,             0.00775,             0.00775,             0.00775
                  27,            0.098767,            0.017402,            0.012958,          0.00093588,             0.02019,          0.00085345,          0.00025702,             0.13711,           0.0064447,            0.027362,             0.00766,             0.00766,             0.00766
                  28,              0.0968,            0.017561,            0.012657,            0.037801,            0.028972,             0.02045,           0.0042114,             0.13645,           0.0065592,            0.026516,             0.00757,             0.00757,             0.00757
                  29,            0.096147,            0.017617,            0.012596,          0.00092124,            0.029406,           0.0015809,          0.00042265,             0.13614,           0.0066286,            0.025786,             0.00748,             0.00748,             0.00748
                  30,            0.095559,            0.017389,            0.012255,           0.0039232,              0.0353,           0.0034956,          0.00062338,              0.1357,           0.0066613,            0.025348,             0.00739,             0.00739,             0.00739
                  31,            0.093903,            0.017324,            0.012141,           0.0052358,            0.037051,           0.0048471,           0.0012803,             0.13561,           0.0067123,            0.025484,              0.0073,              0.0073,              0.0073
                  32,            0.092272,             0.01747,            0.011734,           0.0054686,            0.047537,            0.008843,           0.0015642,             0.13518,           0.0067751,            0.025303,             0.00721,             0.00721,             0.00721
                  33,            0.091462,            0.017535,            0.011597,           0.0034474,            0.049987,            0.010262,           0.0016281,             0.13418,           0.0068824,            0.024109,             0.00712,             0.00712,             0.00712
                  34,             0.08985,            0.017412,            0.011363,           0.0027285,            0.051176,           0.0056463,             0.00135,             0.13367,           0.0069282,            0.023586,             0.00703,             0.00703,             0.00703
                  35,             0.08919,            0.017637,            0.011137,             0.67462,            0.010079,           0.0051544,          0.00089344,             0.13258,            0.007059,            0.021889,             0.00694,             0.00694,             0.00694
                  36,            0.088372,            0.017216,            0.011144,             0.67779,           0.0086158,            0.004762,          0.00096413,             0.13167,            0.007182,            0.020922,             0.00685,             0.00685,             0.00685
                  37,            0.087095,            0.017446,            0.010914,             0.78745,           0.0094286,           0.0054294,           0.0010417,             0.13062,           0.0072527,            0.019447,             0.00676,             0.00676,             0.00676
                  38,            0.085609,            0.017273,            0.010768,              0.7886,           0.0083719,           0.0041556,          0.00092574,             0.13022,           0.0072618,            0.018639,             0.00667,             0.00667,             0.00667
                  39,            0.085173,            0.017393,            0.010667,             0.78952,            0.010241,           0.0071106,           0.0013041,             0.12983,           0.0073443,            0.017553,             0.00658,             0.00658,             0.00658
                  40,            0.084925,            0.017268,            0.010476,             0.90189,           0.0091848,           0.0058087,           0.0013461,             0.13007,            0.007377,            0.017976,             0.00649,             0.00649,             0.00649
                  41,            0.083758,            0.017068,            0.010389,             0.67784,            0.009266,           0.0075065,           0.0018867,             0.13056,             0.00736,            0.017934,              0.0064,              0.0064,              0.0064
                  42,            0.082673,            0.017097,            0.010233,             0.79113,            0.011054,           0.0073104,           0.0019846,             0.13012,           0.0074411,            0.017682,             0.00631,             0.00631,             0.00631
                  43,            0.082638,            0.017191,            0.010225,             0.79283,           0.0095099,            0.006402,           0.0019931,             0.13005,           0.0074843,             0.01773,             0.00622,             0.00622,             0.00622
                  44,            0.081586,             0.01694,            0.010108,             0.90556,            0.010404,           0.0068184,           0.0017047,              0.1291,           0.0075301,            0.016919,             0.00613,             0.00613,             0.00613
                  45,            0.080475,            0.016998,            0.010025,             0.90565,            0.011217,           0.0086418,           0.0022573,             0.12842,           0.0076086,            0.015955,             0.00604,             0.00604,             0.00604
                  46,             0.07981,            0.016919,           0.0099694,             0.90584,            0.009835,           0.0087035,           0.0022056,             0.12844,           0.0076321,            0.015997,             0.00595,             0.00595,             0.00595
                  47,            0.079615,            0.016774,            0.010046,             0.90222,            0.011786,           0.0077521,           0.0021849,             0.12868,           0.0075929,             0.01606,             0.00586,             0.00586,             0.00586
                  48,            0.078335,            0.016987,           0.0098728,             0.90603,            0.010567,            0.010428,           0.0034439,             0.12923,           0.0076727,            0.015653,             0.00577,             0.00577,             0.00577
                  49,            0.078316,            0.016734,           0.0096494,             0.90268,             0.01203,            0.010589,           0.0023978,             0.12932,           0.0076491,            0.015738,             0.00568,             0.00568,             0.00568
                  50,            0.077103,            0.016566,           0.0096725,             0.68024,            0.010729,             0.01008,           0.0028329,             0.12945,            0.007691,            0.016357,             0.00559,             0.00559,             0.00559
                  51,            0.076907,            0.016715,           0.0095997,             0.79329,            0.011263,           0.0098912,           0.0036202,             0.12942,           0.0078022,            0.016083,              0.0055,              0.0055,              0.0055
                  52,            0.076249,            0.016496,           0.0094071,             0.79438,           0.0093473,           0.0083683,           0.0024762,             0.12945,           0.0078467,            0.016413,             0.00541,             0.00541,             0.00541
                  53,            0.075514,            0.016605,           0.0093916,             0.67882,            0.013168,           0.0078083,           0.0022432,              0.1295,           0.0078166,            0.015758,             0.00532,             0.00532,             0.00532
                  54,            0.075249,            0.016492,           0.0092359,             0.79439,            0.010241,           0.0088707,           0.0025307,              0.1307,           0.0078336,             0.01603,             0.00523,             0.00523,             0.00523
                  55,            0.074632,            0.016403,           0.0092644,             0.68116,            0.011704,            0.010013,           0.0033696,             0.12972,           0.0078964,            0.015771,             0.00514,             0.00514,             0.00514
                  56,            0.073864,            0.016445,           0.0091887,             0.68195,            0.011298,            0.012105,           0.0057194,             0.12975,           0.0078925,            0.015816,             0.00505,             0.00505,             0.00505
                  57,            0.073665,            0.016275,           0.0090225,             0.79096,            0.011298,            0.011173,           0.0042884,             0.12957,            0.007988,             0.01532,             0.00496,             0.00496,             0.00496
                  58,            0.072857,            0.016163,           0.0089675,             0.79221,            0.012273,            0.011998,           0.0046133,             0.12956,           0.0079972,            0.015328,             0.00487,             0.00487,             0.00487
                  59,             0.07253,             0.01601,           0.0089706,              0.7896,            0.011135,            0.011323,           0.0055427,              0.1301,           0.0079501,            0.015899,             0.00478,             0.00478,             0.00478
                  60,            0.072164,            0.016048,           0.0088465,             0.79372,            0.010485,            0.011648,           0.0041734,             0.12941,           0.0080116,            0.015423,             0.00469,             0.00469,             0.00469
                  61,            0.071787,            0.015981,           0.0088718,             0.79204,            0.011461,            0.011682,           0.0040413,             0.12919,           0.0079449,            0.015421,              0.0046,              0.0046,              0.0046
                  62,            0.070769,            0.016005,           0.0087395,             0.79095,            0.011298,            0.011652,           0.0045928,             0.12959,           0.0079828,            0.015418,             0.00451,             0.00451,             0.00451
                  63,             0.07072,            0.015806,           0.0086011,             0.79152,            0.011054,           0.0095636,           0.0030501,             0.12975,           0.0079815,            0.015582,             0.00442,             0.00442,             0.00442
                  64,            0.069829,             0.01589,           0.0086123,             0.79068,            0.010892,           0.0083977,           0.0026341,             0.12965,           0.0079828,            0.015272,             0.00433,             0.00433,             0.00433
                  65,             0.07003,            0.015778,           0.0087986,             0.90347,            0.010323,            0.009753,           0.0036652,             0.13007,           0.0079135,            0.015889,             0.00424,             0.00424,             0.00424
                  66,            0.069587,            0.015743,           0.0087036,             0.90572,           0.0096724,           0.0097067,           0.0032541,             0.12988,           0.0079854,            0.015522,             0.00415,             0.00415,             0.00415
                  67,            0.069004,            0.015578,           0.0086422,             0.69053,            0.012655,           0.0087741,           0.0031828,             0.13048,           0.0079645,             0.01569,             0.00406,             0.00406,             0.00406
                  68,            0.068258,            0.015558,           0.0083861,             0.57807,            0.013413,           0.0089093,           0.0029467,             0.13056,           0.0079409,            0.015529,             0.00397,             0.00397,             0.00397
                  69,            0.068104,             0.01551,           0.0084833,              0.7929,            0.009835,           0.0089709,           0.0028433,             0.13004,           0.0080875,            0.015167,             0.00388,             0.00388,             0.00388
                  70,            0.067841,             0.01564,           0.0083571,             0.57324,            0.012736,           0.0096803,           0.0037498,             0.13032,           0.0080652,            0.015529,             0.00379,             0.00379,             0.00379
                  71,             0.06743,             0.01539,           0.0084587,             0.57696,            0.012736,            0.009321,             0.00372,             0.13125,           0.0079972,            0.015713,              0.0037,              0.0037,              0.0037
                  72,            0.067091,            0.015354,           0.0083828,             0.57195,            0.012424,           0.0086862,           0.0039428,             0.13135,           0.0079553,            0.015715,             0.00361,             0.00361,             0.00361
                  73,            0.067405,            0.015401,           0.0084136,             0.56268,            0.020052,           0.0073633,           0.0030035,             0.13121,           0.0079527,            0.015494,             0.00352,             0.00352,             0.00352
                  74,            0.066578,            0.015288,           0.0082967,             0.68303,            0.011855,           0.0094186,           0.0036002,             0.13144,           0.0078807,            0.015695,             0.00343,             0.00343,             0.00343
                  75,            0.066052,            0.015279,            0.008153,              0.5649,            0.018808,            0.010084,           0.0035556,             0.13133,           0.0078899,            0.015587,             0.00334,             0.00334,             0.00334
