               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15706,            0.013297,            0.048233,          1.7659e-05,          0.00048769,          8.8707e-06,          2.9518e-06,             0.15236,           0.0059039,            0.044521,              0.0973,              0.0003,              0.0003
                   1,             0.15289,            0.014579,            0.047808,          5.4633e-05,           0.0021946,          2.7955e-05,          5.2573e-06,             0.14616,           0.0070899,            0.043682,            0.093693,          0.00069307,          0.00069307
                   2,             0.14659,            0.017387,            0.046583,          8.4984e-05,           0.0034138,          4.4108e-05,          9.2383e-06,             0.14127,           0.0081628,            0.042381,            0.090078,           0.0010782,           0.0010782
                   3,             0.14211,            0.019322,            0.044798,          9.1055e-05,           0.0036576,          4.7435e-05,          1.3399e-05,             0.13903,           0.0084806,             0.04051,            0.086455,           0.0014555,           0.0014555
                   4,             0.13961,            0.020309,             0.04253,          8.0938e-05,           0.0032512,           4.278e-05,          1.2753e-05,             0.13828,           0.0083609,            0.038135,            0.082825,           0.0018248,           0.0018248
                   5,             0.13889,            0.020056,            0.039573,          6.8797e-05,           0.0027636,          3.6608e-05,          1.1941e-05,             0.13796,           0.0088694,            0.035466,            0.079186,           0.0021861,           0.0021861
                   6,             0.13806,            0.019866,            0.036872,          8.4607e-05,           0.0079655,          4.5788e-05,          1.1504e-05,             0.13781,           0.0093563,             0.03307,             0.07554,           0.0025396,           0.0025396
                   7,             0.13707,            0.020429,            0.033598,          0.00010619,           0.0099976,          5.8326e-05,          1.4416e-05,              0.1378,           0.0096927,            0.031299,            0.071885,           0.0028852,           0.0028852
                   8,             0.13603,            0.020078,            0.030824,          0.00011223,            0.010567,          6.1822e-05,          1.6516e-05,              0.1379,           0.0097946,            0.030212,            0.068223,           0.0032228,           0.0032228
                   9,             0.13523,            0.020422,            0.029656,          0.00010187,           0.0095912,          5.7244e-05,          1.5754e-05,             0.13802,           0.0099255,            0.029696,            0.064553,           0.0035525,           0.0035525
                  10,             0.13412,            0.020449,            0.027653,          9.6693e-05,           0.0091035,          5.6948e-05,          1.5726e-05,             0.13812,           0.0093432,            0.029579,            0.060874,           0.0038743,           0.0038743
                  11,             0.13289,            0.020833,            0.027232,          9.6693e-05,           0.0091035,          5.7127e-05,          1.5686e-05,             0.13816,           0.0093993,            0.029575,            0.057188,           0.0041882,           0.0041882
                  12,             0.13257,            0.020814,            0.026406,           9.324e-05,           0.0087783,          5.5059e-05,          1.5782e-05,             0.13818,           0.0089441,            0.029629,            0.053494,           0.0044941,           0.0044941
                  13,             0.13171,            0.021396,            0.025729,          9.4967e-05,           0.0089409,          5.5775e-05,          1.5322e-05,              0.1382,           0.0084432,            0.029654,            0.049792,           0.0047922,           0.0047922
                  14,             0.13054,            0.022197,            0.024463,          9.4967e-05,           0.0089409,          5.5569e-05,          1.5968e-05,             0.13821,           0.0084422,            0.029679,            0.046082,           0.0050823,           0.0050823
                  15,             0.13034,            0.021949,            0.024712,          9.4103e-05,           0.0088596,          5.4534e-05,          1.6501e-05,             0.13827,           0.0084955,            0.029742,            0.042364,           0.0053644,           0.0053644
                  16,              0.1292,            0.022682,            0.023729,          9.1522e-05,           0.0086158,          5.2622e-05,          1.6128e-05,             0.13836,           0.0085479,            0.029713,            0.038639,           0.0056387,           0.0056387
                  17,             0.12821,            0.023235,            0.023354,          8.9071e-05,           0.0082094,          5.0865e-05,          1.5094e-05,             0.13841,           0.0085637,            0.029579,            0.034905,           0.0059051,           0.0059051
                  18,             0.12719,            0.022998,            0.023477,          9.3364e-05,           0.0085345,          5.3337e-05,          1.4312e-05,             0.13844,           0.0086189,             0.02944,            0.031163,           0.0061635,           0.0061635
                  19,             0.12711,            0.023465,            0.022762,          0.00011152,            0.010079,          6.3251e-05,          1.6024e-05,             0.13842,           0.0086918,            0.029545,            0.027414,            0.006414,            0.006414
                  20,             0.12553,            0.023709,            0.022272,           0.0001131,             0.01016,          6.3105e-05,          1.6372e-05,             0.13843,           0.0087703,            0.029642,            0.023657,           0.0066566,           0.0066566
                  21,             0.12502,            0.024264,            0.021617,          0.00013524,             0.01203,          7.5896e-05,          1.9087e-05,             0.13831,           0.0087974,             0.02934,            0.019891,           0.0068913,           0.0068913
                  22,             0.12364,            0.024366,              0.0218,           0.0018233,            0.014862,          0.00092769,          0.00010753,              0.1378,           0.0088488,            0.029075,            0.016118,            0.007118,            0.007118
                  23,             0.12263,            0.024582,            0.021496,          0.00022469,            0.019589,          0.00014118,          3.5703e-05,             0.13717,           0.0088806,            0.028794,            0.012337,           0.0073369,           0.0073369
                  24,             0.12279,            0.024766,            0.020702,           0.0025339,            0.021027,           0.0013076,          0.00015416,             0.13697,           0.0089245,            0.028823,           0.0085478,           0.0075478,           0.0075478
                  25,             0.12125,            0.024564,            0.020986,           0.0030042,            0.032564,           0.0022001,          0.00035333,              0.1352,           0.0091404,            0.027699,            0.007525,            0.007525,            0.007525
                  26,             0.12042,            0.025158,            0.020485,            0.023258,            0.039449,            0.012947,           0.0030251,             0.13412,           0.0092497,            0.027275,            0.007525,            0.007525,            0.007525
                  27,              0.1191,            0.024852,            0.020276,            0.039544,            0.040335,            0.021082,           0.0023081,             0.13276,           0.0094591,            0.026918,            0.007426,            0.007426,            0.007426
                  28,             0.11817,            0.025856,            0.019496,             0.90135,            0.011217,           0.0085051,            0.001601,             0.12878,            0.009689,            0.024258,            0.007327,            0.007327,            0.007327
                  29,               0.118,            0.025348,            0.020148,               0.901,             0.01268,            0.015903,           0.0030871,             0.12749,            0.009704,            0.023108,            0.007228,            0.007228,            0.007228
                  30,              0.1174,            0.026004,            0.019518,             0.90274,              0.0152,           0.0076256,           0.0017706,             0.12517,            0.010122,              0.0219,            0.007129,            0.007129,            0.007129
                  31,             0.11593,            0.025798,            0.018721,             0.90723,             0.01585,            0.010407,            0.002525,             0.12455,           0.0098993,            0.022508,             0.00703,             0.00703,             0.00703
                  32,             0.11587,            0.026674,            0.018883,             0.90128,            0.016175,           0.0097459,              0.0022,             0.12493,           0.0097909,            0.020891,            0.006931,            0.006931,            0.006931
                  33,             0.11498,             0.02649,              0.0188,             0.80556,            0.018857,            0.019008,           0.0052871,              0.1194,            0.010294,            0.018558,            0.006832,            0.006832,            0.006832
                  34,             0.11356,            0.025949,             0.01858,             0.80799,            0.018857,            0.019181,           0.0053242,             0.11881,            0.010243,            0.018618,            0.006733,            0.006733,            0.006733
                  35,               0.113,            0.026843,             0.01782,             0.69558,            0.026172,            0.027808,           0.0085322,             0.11545,            0.010471,            0.017039,            0.006634,            0.006634,            0.006634
                  36,              0.1125,            0.025899,             0.01865,             0.69922,            0.027798,            0.031354,            0.010174,             0.11412,             0.01074,             0.01668,            0.006535,            0.006535,            0.006535
                  37,             0.11182,            0.027278,            0.017871,             0.81292,            0.029993,            0.029021,           0.0096808,             0.11281,            0.010808,            0.015954,            0.006436,            0.006436,            0.006436
                  38,              0.1113,            0.026465,            0.018282,             0.92439,            0.027392,            0.032259,            0.010672,             0.11309,            0.010582,            0.016277,            0.006337,            0.006337,            0.006337
                  39,             0.11085,            0.026157,            0.018045,             0.70613,            0.029626,            0.034527,            0.010951,             0.11241,            0.010542,            0.016071,            0.006238,            0.006238,            0.006238
                  40,             0.10987,            0.026717,            0.018035,             0.81104,            0.029749,            0.030897,           0.0092218,             0.11366,            0.010621,            0.015906,            0.006139,            0.006139,            0.006139
                  41,             0.10914,            0.026243,            0.017384,             0.93182,            0.027554,            0.039502,            0.012181,             0.11161,             0.01081,            0.015841,             0.00604,             0.00604,             0.00604
                  42,             0.10914,            0.026879,             0.01709,              0.9349,            0.027961,            0.042615,            0.013211,             0.11102,            0.010798,            0.015822,            0.005941,            0.005941,            0.005941
                  43,             0.10904,            0.026692,            0.017248,             0.93585,            0.028367,            0.042513,            0.013756,             0.11073,            0.010899,            0.015685,            0.005842,            0.005842,            0.005842
                  44,             0.10827,            0.027026,            0.017096,             0.82938,            0.028692,            0.042162,            0.014171,             0.10998,            0.010684,            0.015375,            0.005743,            0.005743,            0.005743
                  45,             0.10842,            0.027235,             0.01771,             0.83355,            0.031293,            0.048731,            0.016588,             0.10834,            0.010886,             0.01532,            0.005644,            0.005644,            0.005644
                  46,             0.10725,            0.026796,            0.017416,             0.71778,            0.034347,            0.048396,            0.016747,             0.10917,            0.010688,            0.015549,            0.005545,            0.005545,            0.005545
                  47,             0.10654,            0.026392,            0.017052,             0.85063,            0.035983,            0.048039,            0.016729,             0.10784,            0.010797,            0.015203,            0.005446,            0.005446,            0.005446
                  48,             0.10609,            0.026406,            0.017181,             0.85658,            0.036027,            0.047464,            0.015912,             0.10901,            0.010639,            0.015205,            0.005347,            0.005347,            0.005347
                  49,             0.10673,            0.026985,            0.016341,             0.84127,             0.03535,             0.04585,            0.016005,             0.10802,            0.010806,             0.01531,            0.005248,            0.005248,            0.005248
                  50,             0.10619,            0.027183,            0.017076,             0.85526,            0.031961,            0.046374,            0.014469,             0.10938,            0.010632,             0.01548,            0.005149,            0.005149,            0.005149
                  51,             0.10526,            0.026703,            0.016955,             0.73928,            0.036364,            0.045444,            0.014887,             0.10849,            0.010524,            0.015572,             0.00505,             0.00505,             0.00505
                  52,             0.10512,            0.027944,            0.016722,             0.88226,            0.036064,            0.049261,            0.017558,             0.10653,            0.010737,             0.01518,            0.004951,            0.004951,            0.004951
                  53,             0.10471,            0.026767,            0.016797,             0.72087,            0.051605,            0.047115,            0.017474,             0.10706,            0.010583,            0.015236,            0.004852,            0.004852,            0.004852
                  54,             0.10502,            0.026805,            0.016785,              0.7216,            0.036983,            0.051808,            0.019258,             0.10584,            0.010729,            0.015274,            0.004753,            0.004753,            0.004753
                  55,              0.1039,            0.026871,            0.016669,             0.83904,            0.036414,            0.049779,            0.018627,              0.1062,            0.010699,            0.015341,            0.004654,            0.004654,            0.004654
                  56,             0.10356,            0.027504,            0.016588,             0.72379,            0.044151,            0.053669,            0.019243,              0.1055,             0.01094,            0.015853,            0.004555,            0.004555,            0.004555
                  57,               0.103,            0.026939,            0.016893,             0.90269,            0.038679,            0.053851,            0.020486,             0.10546,            0.010578,            0.015121,            0.004456,            0.004456,            0.004456
                  58,             0.10307,            0.027105,             0.01661,             0.83957,            0.037958,            0.051784,            0.018793,             0.10555,            0.010645,            0.015828,            0.004357,            0.004357,            0.004357
                  59,             0.10261,            0.027266,            0.016592,             0.72186,            0.056331,            0.053849,            0.020399,             0.10506,            0.010688,            0.015631,            0.004258,            0.004258,            0.004258
                  60,             0.10237,            0.027231,            0.016351,             0.72048,            0.055294,            0.053787,            0.019765,             0.10524,            0.010656,            0.015906,            0.004159,            0.004159,            0.004159
