               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15178,             0.01537,            0.046498,          0.00010117,            0.004064,          5.6337e-05,          1.5034e-05,             0.14048,           0.0078506,            0.039285,              0.0973,              0.0003,              0.0003
                   1,             0.13825,            0.019863,            0.036583,          6.1297e-05,            0.005771,          3.6515e-05,          1.0673e-05,             0.13825,           0.0095684,            0.032751,            0.093693,          0.00069307,          0.00069307
                   2,             0.13782,            0.018786,            0.029563,          3.6385e-06,          0.00016256,          1.8391e-06,          5.5172e-07,             0.13867,           0.0091871,            0.037732,            0.090078,           0.0010782,           0.0010782
                   3,             0.13635,            0.019075,            0.026162,                   0,                   0,                   0,                   0,             0.13956,           0.0083852,              0.0391,            0.086455,           0.0014555,           0.0014555
                   4,              0.1343,            0.020279,            0.024664,                   0,                   0,                   0,                   0,             0.14081,           0.0077123,             0.05079,            0.082825,           0.0018248,           0.0018248
                   5,             0.13343,            0.020646,             0.02388,                   0,                   0,                   0,                   0,             0.14431,           0.0078801,             0.11349,            0.079186,           0.0021861,           0.0021861
                   6,             0.13112,            0.021353,             0.02335,                   0,                   0,                   0,                   0,               0.147,           0.0083918,             0.24785,             0.07554,           0.0025396,           0.0025396
                   7,             0.12881,            0.022895,            0.021527,                   0,                   0,                   0,                   0,             0.14682,           0.0088479,             0.14698,            0.071885,           0.0028852,           0.0028852
                   8,             0.12767,            0.022828,            0.020789,                   0,                   0,                   0,                   0,             0.14638,            0.008932,            0.088413,            0.068223,           0.0032228,           0.0032228
                   9,             0.12542,            0.024088,            0.020628,          0.00015665,           0.0017882,          8.0955e-05,          2.0717e-05,             0.14499,           0.0085521,            0.042146,            0.064553,           0.0035525,           0.0035525
                  10,              0.1236,             0.02411,            0.019447,          8.6246e-06,          0.00016256,          4.3535e-06,           8.707e-07,             0.14483,           0.0095283,            0.042004,            0.060874,           0.0038743,           0.0038743
                  11,             0.12335,            0.024359,            0.019443,           0.0001154,           0.0015443,          5.8648e-05,          1.2922e-05,             0.14352,           0.0099236,            0.041425,            0.057188,           0.0041882,           0.0041882
                  12,             0.12274,            0.024335,            0.019405,                   0,                   0,                   0,                   0,             0.14293,           0.0098227,            0.041307,            0.053494,           0.0044941,           0.0044941
                  13,             0.12066,            0.025066,            0.019015,                   0,                   0,                   0,                   0,             0.14164,            0.010049,            0.050908,            0.049792,           0.0047922,           0.0047922
                  14,             0.11886,            0.026154,            0.018135,          0.00074099,           0.0016256,          0.00037949,          0.00012811,              0.1436,            0.019544,            0.057874,            0.046082,           0.0050823,           0.0050823
