               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18138,           0.0022909,            0.040226,           0.0003002,           0.0041453,          0.00016216,          4.2769e-05,             0.18077,            0.000806,            0.038813,              0.0973,              0.0003,              0.0003
                   1,             0.17895,           0.0024989,            0.039922,          0.00023828,           0.0037389,          0.00013264,          2.8773e-05,             0.17692,          0.00091302,            0.038219,            0.093694,           0.0006937,           0.0006937
                   2,             0.17234,            0.003083,            0.039069,          0.00015885,           0.0037389,          8.8474e-05,          1.7273e-05,             0.17217,           0.0010705,            0.037463,             0.09008,           0.0010802,           0.0010802
                   3,              0.1645,           0.0039572,            0.038055,          0.00010705,           0.0025197,           5.808e-05,          1.0467e-05,             0.16795,           0.0012283,            0.036607,             0.08646,           0.0014595,           0.0014595
                   4,             0.15718,           0.0048284,            0.036733,          8.3407e-05,           0.0015443,          4.2499e-05,          8.5349e-06,             0.16474,           0.0013604,            0.035671,            0.082832,           0.0018316,           0.0018316
                   5,             0.15187,           0.0057248,            0.034969,           6.734e-05,           0.0010567,          3.4244e-05,          6.8923e-06,              0.1623,           0.0014708,            0.034553,            0.079197,           0.0021965,           0.0021965
                   6,             0.14798,            0.006418,            0.032154,           8.806e-05,           0.0013818,          4.5242e-05,          6.6587e-06,             0.16055,            0.001555,            0.033168,            0.075554,           0.0025542,           0.0025542
                   7,             0.14496,           0.0073241,            0.028747,           8.806e-05,           0.0013818,          4.5504e-05,          7.7782e-06,             0.15947,           0.0016024,            0.031723,            0.071905,           0.0029047,           0.0029047
                   8,              0.1429,           0.0079004,            0.025418,           8.806e-05,           0.0013818,          4.5603e-05,          7.7933e-06,             0.15893,            0.001627,            0.030474,            0.068248,            0.003248,            0.003248
                   9,             0.14097,           0.0084399,            0.022437,          9.4182e-05,          0.00097537,          4.8175e-05,          1.0067e-05,              0.1588,           0.0016267,            0.029523,            0.064584,           0.0035841,           0.0035841
                  10,              0.1387,            0.009357,            0.020393,           0.0001295,           0.0011379,          6.7745e-05,          1.3421e-05,             0.15885,           0.0016137,            0.028903,            0.060913,            0.003913,            0.003913
                  11,             0.13708,           0.0097392,            0.019399,          0.00013946,           0.0011379,          7.2565e-05,          1.4394e-05,             0.15888,           0.0016075,            0.028551,            0.057235,           0.0042347,           0.0042347
                  12,             0.13522,            0.010053,            0.018243,          0.00017406,           0.0014631,           9.114e-05,          1.7532e-05,              0.1589,           0.0016024,            0.028435,            0.053549,           0.0045492,           0.0045492
                  13,             0.13326,            0.010143,            0.017483,          9.4513e-05,           0.0010567,          4.9124e-05,          9.4193e-06,             0.15896,           0.0016005,            0.028455,            0.049857,           0.0048565,           0.0048565
                  14,               0.132,           0.0098394,            0.016822,          0.00015855,           0.0018695,          8.3494e-05,          1.6138e-05,             0.15893,            0.001612,             0.02851,            0.046157,           0.0051566,           0.0051566
                  15,             0.13089,           0.0096562,             0.01606,           0.0001455,           0.0021946,          7.7039e-05,          1.5446e-05,             0.15885,           0.0016225,            0.028475,             0.04245,           0.0054495,           0.0054495
                  16,             0.12985,           0.0093664,            0.015783,          0.00013922,           0.0021133,          7.4009e-05,          1.5352e-05,             0.15878,           0.0016323,            0.028485,            0.038735,           0.0057352,           0.0057352
                  17,             0.12887,           0.0093256,            0.015181,           0.0001195,           0.0019507,          6.1473e-05,          1.1524e-05,             0.15865,           0.0016513,            0.028385,            0.035014,           0.0060137,           0.0060137
                  18,             0.12765,           0.0094883,            0.014689,          0.00010602,           0.0019507,          5.4848e-05,          1.0954e-05,             0.15841,           0.0016784,            0.028203,            0.031285,            0.006285,            0.006285
                  19,             0.12644,           0.0095508,            0.014052,          0.00010888,           0.0019507,          5.6153e-05,          1.0314e-05,             0.15827,           0.0016989,            0.028198,            0.027549,           0.0065491,           0.0065491
                  20,               0.125,           0.0096387,            0.013605,          9.4627e-05,            0.002032,          5.0987e-05,          8.8522e-06,             0.15785,           0.0017338,            0.027705,            0.023806,            0.006806,            0.006806
                  21,             0.12418,           0.0094762,            0.013177,          0.00019036,           0.0048769,          0.00010672,          2.7185e-05,             0.15758,           0.0017496,            0.027408,            0.020056,           0.0070557,           0.0070557
                  22,             0.12269,           0.0097606,            0.012788,          0.00023794,            0.007803,           0.0001419,          3.9689e-05,             0.15696,           0.0017865,            0.026567,            0.016298,           0.0072982,           0.0072982
                  23,             0.12187,           0.0098112,            0.012356,          0.00025742,            0.009835,          0.00014948,          4.4596e-05,             0.15657,           0.0018006,            0.025907,            0.012534,           0.0075335,           0.0075335
                  24,             0.12129,           0.0097004,            0.012178,          0.00029372,            0.019356,          0.00017966,          4.9717e-05,             0.15578,           0.0018391,            0.024966,           0.0087616,           0.0077616,           0.0077616
                  25,             0.11993,           0.0099396,            0.011758,          0.00031254,            0.021875,          0.00020239,          5.5193e-05,             0.15524,           0.0019008,            0.024049,             0.00775,             0.00775,             0.00775
                  26,             0.11886,            0.010058,            0.011486,          0.00032524,            0.023582,          0.00021457,          6.0298e-05,             0.15456,           0.0019717,            0.023037,             0.00775,             0.00775,             0.00775
                  27,             0.11777,            0.010159,            0.011232,          0.00031097,            0.022688,          0.00020045,          5.5608e-05,             0.15416,           0.0019865,            0.022304,             0.00766,             0.00766,             0.00766
                  28,             0.11666,            0.010311,            0.010982,          0.00032894,            0.023664,          0.00020996,          5.6248e-05,             0.15362,           0.0020518,            0.021403,             0.00757,             0.00757,             0.00757
                  29,             0.11519,             0.01043,            0.010868,          0.00033026,            0.023989,          0.00021136,          5.7739e-05,             0.15324,           0.0020901,            0.020267,             0.00748,             0.00748,             0.00748
                  30,             0.11417,            0.010464,            0.010662,          0.00032505,            0.023989,          0.00021473,          5.6626e-05,             0.15311,           0.0021315,            0.019686,             0.00739,             0.00739,             0.00739
                  31,             0.11306,            0.010514,            0.010576,          0.00034578,            0.024802,          0.00022924,          5.4137e-05,             0.15333,           0.0021285,             0.02023,              0.0073,              0.0073,              0.0073
                  32,             0.11227,            0.010656,            0.010276,          0.00034109,            0.025858,          0.00027252,          7.0517e-05,             0.15286,           0.0022178,            0.019089,             0.00721,             0.00721,             0.00721
                  33,             0.11122,            0.010822,            0.010158,             0.44499,            0.010567,          0.00030538,          6.9204e-05,             0.15327,           0.0022905,            0.018354,             0.00712,             0.00712,             0.00712
                  34,             0.11027,            0.010731,            0.010024,             0.88933,           0.0012192,          0.00027333,          6.4063e-05,             0.15275,           0.0023439,            0.017934,             0.00703,             0.00703,             0.00703
                  35,             0.10982,             0.01086,           0.0099087,             0.33388,            0.013574,          0.00028791,          7.1557e-05,             0.15265,           0.0023751,            0.017868,             0.00694,             0.00694,             0.00694
                  36,             0.10848,            0.010802,            0.009953,             0.44493,            0.011542,          0.00026425,          6.3103e-05,              0.1526,           0.0024327,             0.01711,             0.00685,             0.00685,             0.00685
                  37,             0.10767,            0.010882,           0.0097645,              0.6671,           0.0022759,          0.00043373,          0.00010359,             0.15224,           0.0024203,            0.017475,             0.00676,             0.00676,             0.00676
                  38,              0.1069,            0.010903,           0.0096981,             0.88953,           0.0010567,          0.00030592,          8.5199e-05,             0.15234,           0.0024323,            0.017483,             0.00667,             0.00667,             0.00667
                  39,             0.10664,            0.010959,           0.0096053,          0.00038227,            0.026915,           0.0002891,          8.4706e-05,             0.15205,           0.0024127,            0.017226,             0.00658,             0.00658,             0.00658
