               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10969,            0.033469,             0.03904,          7.8563e-05,           0.0073966,          4.2705e-05,          1.3094e-05,             0.10343,            0.018896,            0.036167,              0.0766,              0.0026,              0.0026
                   1,            0.097384,            0.037895,            0.030173,          7.8563e-05,           0.0073966,          6.4406e-05,          1.7585e-05,             0.10334,            0.017837,            0.031574,            0.052252,           0.0052523,           0.0052523
                   2,            0.086792,            0.033211,            0.018301,          8.7207e-05,           0.0081281,          6.2423e-05,          1.7027e-05,             0.10318,            0.017615,            0.026211,            0.027856,            0.007856,            0.007856
                   3,            0.078319,            0.029009,            0.014566,           0.0018291,            0.055586,           0.0020167,          0.00064385,             0.10019,             0.01643,            0.016058,             0.00973,             0.00973,             0.00973
                   4,            0.069463,            0.026629,            0.012875,             0.91544,            0.025685,            0.017084,           0.0053145,            0.079168,            0.014753,            0.010621,             0.00973,             0.00973,             0.00973
                   5,            0.061427,            0.024044,            0.011551,             0.93278,            0.031293,            0.029228,            0.010579,            0.075822,            0.015201,           0.0095729,             0.00964,             0.00964,             0.00964
                   6,            0.056278,             0.02209,            0.010337,             0.94159,            0.033732,            0.038111,            0.012867,             0.07435,             0.01305,           0.0095501,             0.00955,             0.00955,             0.00955
                   7,            0.051961,            0.020534,           0.0094509,               0.758,            0.036813,            0.040463,            0.015248,            0.070522,            0.014014,           0.0096651,             0.00946,             0.00946,             0.00946
                   8,            0.048524,             0.01913,           0.0087453,             0.71994,            0.035357,            0.039604,            0.013972,            0.072287,            0.013383,           0.0096903,             0.00937,             0.00937,             0.00937
                   9,            0.046147,            0.018183,           0.0081725,              0.8609,            0.039987,            0.043194,            0.014347,            0.069143,            0.014239,           0.0097301,             0.00928,             0.00928,             0.00928
                  10,            0.044475,            0.017423,           0.0076986,             0.95334,            0.038283,             0.04909,            0.018563,             0.06802,            0.014306,            0.010088,             0.00919,             0.00919,             0.00919
                  11,            0.042266,            0.016509,           0.0072526,             0.73113,             0.03932,            0.045048,            0.015751,            0.069142,            0.014116,           0.0095928,              0.0091,              0.0091,              0.0091
                  12,            0.041076,            0.015916,           0.0068742,             0.83918,            0.034707,            0.043407,            0.016919,             0.06847,            0.015437,            0.009659,             0.00901,             0.00901,             0.00901
                  13,            0.039869,            0.015305,           0.0065526,             0.83769,            0.040153,            0.044908,            0.017283,            0.067598,            0.014848,           0.0092928,             0.00892,             0.00892,             0.00892
                  14,            0.038433,            0.014707,           0.0061875,             0.83767,            0.037923,            0.042805,            0.016464,            0.067772,            0.015315,           0.0096441,             0.00883,             0.00883,             0.00883
                  15,            0.037491,            0.014142,           0.0059241,             0.73679,            0.039746,            0.049207,            0.018789,             0.06792,            0.015535,           0.0098214,             0.00874,             0.00874,             0.00874
                  16,            0.036403,            0.013709,           0.0056932,             0.85133,            0.032467,            0.042614,            0.017587,            0.067102,            0.016814,           0.0095394,             0.00865,             0.00865,             0.00865
                  17,            0.035814,             0.01335,           0.0054618,             0.84763,            0.039584,            0.054359,            0.019754,            0.068405,            0.015291,           0.0090743,             0.00856,             0.00856,             0.00856
                  18,            0.034784,            0.012874,            0.005248,             0.40857,            0.054835,             0.05012,            0.020093,            0.065749,            0.016458,           0.0095034,             0.00847,             0.00847,             0.00847
                  19,            0.033829,            0.012412,            0.005129,             0.72662,            0.040478,            0.046013,            0.019099,            0.065674,            0.016639,           0.0093668,             0.00838,             0.00838,             0.00838
                  20,            0.033619,             0.01215,           0.0048955,              0.7262,            0.039746,              0.0477,             0.01945,            0.066175,            0.016599,            0.009659,             0.00829,             0.00829,             0.00829
                  21,            0.033071,            0.011838,            0.004725,              0.8435,            0.038771,            0.044155,            0.017395,            0.067198,            0.016381,            0.009974,              0.0082,              0.0082,              0.0082
                  22,            0.032338,            0.011535,           0.0045819,             0.22439,            0.057015,            0.052088,            0.020416,            0.065806,            0.017144,            0.009957,             0.00811,             0.00811,             0.00811
                  23,            0.031839,            0.011341,           0.0044627,             0.53525,            0.053625,            0.052328,            0.020293,              0.0666,            0.017243,           0.0096135,             0.00802,             0.00802,             0.00802
                  24,            0.031096,            0.010964,           0.0042855,             0.42633,            0.057031,            0.051362,            0.020305,            0.065135,            0.017403,           0.0089618,             0.00793,             0.00793,             0.00793
                  25,            0.030737,            0.010834,           0.0041847,             0.84089,            0.038202,            0.046642,            0.018862,            0.065547,            0.017454,           0.0092324,             0.00784,             0.00784,             0.00784
                  26,            0.030444,            0.010507,           0.0040939,             0.84457,            0.036658,            0.045069,            0.018503,            0.067141,            0.017913,           0.0093799,             0.00775,             0.00775,             0.00775
                  27,            0.030015,            0.010277,           0.0039948,             0.73397,             0.03804,            0.046208,            0.018742,            0.065914,             0.01816,           0.0091948,             0.00766,             0.00766,             0.00766
                  28,            0.029305,            0.010058,           0.0038869,             0.72805,            0.042673,            0.047591,            0.018986,            0.066281,            0.017953,           0.0095009,             0.00757,             0.00757,             0.00757
                  29,            0.029304,           0.0099333,            0.003831,             0.59089,            0.043542,            0.046406,             0.01971,            0.065714,            0.018673,           0.0098492,             0.00748,             0.00748,             0.00748
                  30,            0.028912,           0.0097195,           0.0037524,             0.33186,            0.048407,            0.046809,            0.018434,            0.066388,            0.018817,           0.0098695,             0.00739,             0.00739,             0.00739
                  31,            0.028376,           0.0094875,           0.0036379,             0.73726,              0.0388,             0.04741,            0.019186,            0.065477,             0.01891,           0.0093613,              0.0073,              0.0073,              0.0073
                  32,            0.027897,           0.0093205,           0.0035975,             0.84125,             0.03617,            0.045305,            0.019301,             0.06579,            0.018841,           0.0092858,             0.00721,             0.00721,             0.00721
                  33,            0.027595,           0.0092239,           0.0035148,             0.73049,            0.036902,            0.045018,            0.018473,            0.066701,             0.01846,           0.0095185,             0.00712,             0.00712,             0.00712
                  34,            0.027141,           0.0089403,           0.0034788,             0.84614,            0.036983,            0.044472,            0.018651,            0.065384,             0.01855,           0.0091806,             0.00703,             0.00703,             0.00703
                  35,            0.026433,           0.0086889,           0.0033613,             0.35044,            0.055742,            0.050666,            0.020813,            0.065957,            0.019202,           0.0095201,             0.00694,             0.00694,             0.00694
