               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15975,           0.0072012,            0.040087,           6.475e-06,          0.00016256,          3.2558e-06,          6.5115e-07,             0.15638,           0.0035707,            0.038632,              0.0973,              0.0003,              0.0003
                   1,             0.15685,            0.007899,            0.039741,          1.6188e-05,          0.00065025,          8.1502e-06,          1.6284e-06,             0.15293,            0.004028,            0.038138,            0.093694,           0.0006937,           0.0006937
                   2,             0.15142,           0.0093167,             0.03904,          2.4757e-05,           0.0010567,          1.2526e-05,          2.0245e-06,             0.14801,           0.0046809,            0.037242,             0.09008,           0.0010802,           0.0010802
                   3,              0.1454,            0.011026,            0.037855,          5.4633e-05,           0.0021946,          2.8493e-05,          6.1304e-06,             0.14438,           0.0051651,            0.036074,             0.08646,           0.0014595,           0.0014595
                   4,             0.14121,            0.011966,             0.03623,          8.0938e-05,           0.0032512,          4.2678e-05,           1.253e-05,             0.14226,           0.0053666,            0.034573,            0.082832,           0.0018316,           0.0018316
                   5,             0.13869,            0.012527,            0.034231,           0.0001032,           0.0041453,          5.5477e-05,           1.647e-05,             0.14119,           0.0054065,            0.032831,            0.079197,           0.0021965,           0.0021965
                   6,             0.13674,            0.012908,            0.031403,          0.00011853,           0.0043892,          6.3193e-05,          1.9293e-05,             0.14061,           0.0054235,            0.030867,            0.075554,           0.0025542,           0.0025542
                   7,             0.13477,            0.013787,            0.028466,          0.00015378,           0.0030887,          7.9478e-05,          2.4479e-05,             0.14032,           0.0054196,             0.02913,            0.071905,           0.0029047,           0.0029047
                   8,             0.13273,            0.014491,             0.02599,          0.00011194,           0.0082907,          6.4801e-05,          1.7093e-05,             0.14026,           0.0058173,             0.02775,            0.068248,            0.003248,            0.003248
                   9,              0.1306,            0.015181,            0.023768,          0.00011137,            0.010485,          6.7723e-05,          1.6612e-05,             0.14036,           0.0057872,            0.026854,            0.064584,           0.0035841,           0.0035841
                  10,             0.12793,            0.015885,            0.022104,          0.00011223,            0.010567,          6.9064e-05,          1.6806e-05,             0.14046,           0.0057833,             0.02635,            0.060913,            0.003913,            0.003913
                  11,             0.12598,            0.016034,            0.021208,          0.00011223,            0.010567,          6.8165e-05,          1.6712e-05,             0.14058,           0.0058324,            0.026295,            0.057235,           0.0042347,           0.0042347
                  12,             0.12375,            0.016285,            0.020198,          0.00010792,             0.01016,          6.4513e-05,          1.5992e-05,             0.14067,           0.0057964,             0.02635,            0.053549,           0.0045492,           0.0045492
                  13,             0.12147,            0.016782,            0.019458,           0.0001029,           0.0090222,          5.9295e-05,          1.4787e-05,             0.14074,           0.0057859,            0.026582,            0.049857,           0.0048565,           0.0048565
                  14,             0.11942,            0.016731,            0.018874,          0.00010233,           0.0074779,          5.7077e-05,          1.3799e-05,             0.14078,           0.0057879,            0.026753,            0.046157,           0.0051566,           0.0051566
                  15,             0.11811,            0.016734,            0.018063,          9.6339e-05,           0.0065838,          5.3253e-05,          1.3225e-05,             0.14078,           0.0058069,            0.027045,             0.04245,           0.0054495,           0.0054495
                  16,             0.11682,             0.01646,            0.017728,          9.4307e-05,           0.0060961,          5.2353e-05,          1.3389e-05,             0.14076,           0.0057748,            0.027247,            0.038735,           0.0057352,           0.0057352
                  17,             0.11565,            0.016482,            0.017098,               9e-05,            0.005202,           4.939e-05,          1.3352e-05,             0.14071,           0.0056871,            0.027443,            0.035014,           0.0060137,           0.0060137
                  18,             0.11379,            0.016697,            0.016545,          0.00011327,            0.004064,          6.0271e-05,          1.7551e-05,             0.14058,           0.0055269,            0.027584,            0.031285,            0.006285,            0.006285
                  19,             0.11209,             0.01667,             0.01582,          0.00012649,             0.00317,          6.6537e-05,          1.8938e-05,             0.14038,           0.0054693,            0.027659,            0.027549,           0.0065491,           0.0065491
                  20,             0.11103,              0.0167,            0.015405,          0.00017436,           0.0041453,          9.1157e-05,          2.3978e-05,             0.14008,           0.0055079,            0.027493,            0.023806,            0.006806,            0.006806
                  21,             0.11006,            0.016348,            0.015041,          0.00015121,           0.0034138,          7.9049e-05,          1.9927e-05,             0.13995,           0.0055236,            0.027443,            0.020056,           0.0070557,           0.0070557
                  22,             0.10877,            0.016673,            0.014791,          0.00016803,           0.0038202,          8.8005e-05,          2.4864e-05,             0.13967,           0.0055504,            0.027267,            0.016298,           0.0072982,           0.0072982
                  23,             0.10886,            0.016491,            0.014378,          0.00026346,           0.0062586,          0.00013917,          3.9238e-05,             0.13937,           0.0056086,            0.026788,            0.012534,           0.0075335,           0.0075335
                  24,             0.10742,            0.016448,            0.014383,          0.00028549,           0.0073153,          0.00015215,          3.9413e-05,             0.13901,            0.005659,            0.026577,           0.0087616,           0.0077616,           0.0077616
                  25,             0.10624,            0.016606,             0.01395,            0.000377,            0.012517,          0.00020979,          5.0958e-05,              0.1386,            0.005727,            0.025751,             0.00775,             0.00775,             0.00775
                  26,             0.10465,            0.016743,            0.013751,          0.00048302,             0.01715,          0.00028322,          6.8289e-05,             0.13829,           0.0057944,            0.025464,             0.00775,             0.00775,             0.00775
                  27,             0.10352,            0.016826,            0.013551,          0.00051621,            0.023653,          0.00032385,          7.3269e-05,              0.1374,           0.0059528,            0.024301,             0.00766,             0.00766,             0.00766
                  28,             0.10202,            0.017013,            0.013252,          0.00051969,            0.028611,          0.00035127,          7.8758e-05,             0.13728,           0.0059691,            0.023702,             0.00757,             0.00757,             0.00757
                  29,             0.10145,            0.016946,            0.013165,          0.00056551,            0.032106,          0.00040812,          8.9091e-05,             0.13713,           0.0060018,            0.023722,             0.00748,             0.00748,             0.00748
                  30,             0.10076,            0.016802,             0.01284,          0.00057136,             0.03617,          0.00048379,          0.00010324,             0.13666,           0.0060496,              0.0235,             0.00739,             0.00739,             0.00739
                  31,            0.099517,            0.016759,            0.012793,          0.00059147,            0.033406,           0.0004638,          0.00010114,             0.13671,           0.0060954,            0.023606,              0.0073,              0.0073,              0.0073
                  32,            0.097942,            0.017007,            0.012417,          0.00062581,            0.034463,          0.00059121,          0.00013296,             0.13622,           0.0061667,            0.023143,             0.00721,             0.00721,             0.00721
                  33,            0.097115,            0.017114,            0.012257,          0.00061627,            0.041535,          0.00085978,          0.00018587,             0.13451,           0.0064166,            0.021531,             0.00712,             0.00712,             0.00712
                  34,            0.095603,            0.017025,            0.012108,          0.00058956,             0.03682,          0.00069868,          0.00013792,             0.13557,            0.006291,            0.022219,             0.00703,             0.00703,             0.00703
                  35,            0.094748,            0.017214,            0.011924,             0.55819,           0.0081281,           0.0010098,          0.00023374,             0.13328,           0.0066292,            0.020119,             0.00694,             0.00694,             0.00694
                  36,            0.093967,            0.016852,            0.011952,          0.00059231,            0.040234,          0.00083554,          0.00019079,             0.13435,           0.0064964,            0.021325,             0.00685,             0.00685,             0.00685
                  37,            0.092724,            0.017058,            0.011634,          0.00059693,            0.040234,          0.00089074,          0.00020375,             0.13409,           0.0065416,            0.020378,             0.00676,             0.00676,             0.00676
                  38,            0.091387,            0.016967,            0.011585,             0.89068,           0.0017882,           0.0010045,          0.00022675,             0.13401,           0.0065553,            0.020116,             0.00667,             0.00667,             0.00667
                  39,            0.090998,            0.017084,            0.011463,           0.0023665,            0.016175,           0.0010965,          0.00023901,             0.13417,           0.0065442,             0.02033,             0.00658,             0.00658,             0.00658
                  40,            0.090815,             0.01698,            0.011331,             0.67046,           0.0045517,           0.0011351,          0.00026696,             0.13381,           0.0065841,             0.02101,             0.00649,             0.00649,             0.00649
                  41,            0.089525,            0.016811,             0.01119,             0.66999,           0.0035764,           0.0010914,            0.000265,              0.1337,           0.0066345,            0.020348,              0.0064,              0.0064,              0.0064
                  42,             0.08896,            0.016888,            0.011008,             0.78182,           0.0035764,           0.0012407,          0.00027702,              0.1341,           0.0066456,            0.020602,             0.00631,             0.00631,             0.00631
                  43,            0.088246,            0.017009,            0.011008,             0.67134,           0.0044705,           0.0015669,          0.00036789,              0.1335,           0.0067038,            0.020285,             0.00622,             0.00622,             0.00622
                  44,            0.087627,            0.016694,            0.010947,             0.67018,           0.0039015,           0.0013286,          0.00031025,             0.13408,           0.0066567,            0.020703,             0.00613,             0.00613,             0.00613
                  45,             0.08697,            0.016842,             0.01089,             0.67142,           0.0054458,           0.0015873,          0.00035852,             0.13379,           0.0067136,            0.020217,             0.00604,             0.00604,             0.00604
                  46,            0.086165,              0.0168,            0.010809,               0.672,           0.0038202,             0.00167,          0.00036434,             0.13415,           0.0066011,            0.021385,             0.00595,             0.00595,             0.00595
                  47,            0.085097,             0.01668,            0.010877,             0.67258,           0.0032512,           0.0015134,          0.00034276,             0.13446,           0.0066076,            0.021776,             0.00586,             0.00586,             0.00586
                  48,            0.084075,            0.016895,            0.010687,             0.67222,           0.0034951,           0.0015874,          0.00034174,             0.13397,           0.0066698,            0.021745,             0.00577,             0.00577,             0.00577
                  49,            0.083921,            0.016694,            0.010529,             0.78337,           0.0033325,           0.0014781,          0.00033833,             0.13407,           0.0066678,            0.022151,             0.00568,             0.00568,             0.00568
                  50,            0.083087,            0.016562,            0.010554,             0.78589,           0.0037389,           0.0017571,          0.00037743,             0.13425,           0.0066645,            0.022176,             0.00559,             0.00559,             0.00559
                  51,            0.082901,            0.016771,            0.010448,             0.67498,           0.0064212,           0.0020663,          0.00044758,             0.13348,           0.0067555,             0.02128,              0.0055,              0.0055,              0.0055
                  52,            0.082492,            0.016566,             0.01025,             0.67557,           0.0058522,           0.0020217,          0.00044016,             0.13362,           0.0067947,            0.021504,             0.00541,             0.00541,             0.00541
                  53,            0.082009,            0.016684,            0.010251,             0.78468,           0.0073966,            0.002041,          0.00042715,             0.13276,           0.0068772,             0.02024,             0.00532,             0.00532,             0.00532
                  54,            0.081349,            0.016652,            0.010086,             0.67495,           0.0079655,           0.0022329,          0.00050487,             0.13295,           0.0068641,            0.020421,             0.00523,             0.00523,             0.00523
